"State","Department.Agency","Adopted.Adjusted.Estimated.Actual.etc.","Adopted.Actual...Simplified","LEA FY 2018-19","LEA FY 2019-20","LEA FY 2020-21","LEA FY 2021-22","Total_FY19","Total_FY20","Total_FY21","Total_FY22","LEA_19_22_Chg","LEA_19_20_Chg","LEA_20_21_Chg","LEA_21_22_Chg"
"North Carolina","Charlotte Police Department","Actual","Actual",274271690,280327132,NA,NA,NA,NA,NA,NA,NA,2.20782611577593,NA,NA
"North Carolina","Charlotte Police Department","Adopted","Adopted",272691156,285066260,290203220,300877459,2.62e+09,2628290020,2550180867,2705939363,10.3363465883727,4.53813911001939,1.80202315068784,3.67819454243134
"Virginia","Chesapeake Police Department ","Approved","Adopted",49106131,53293559,53275090,54451736,1073936286,1120183515,1113237946,1344827671,10.8858199396731,8.52730181492001,-0.0346552197799363,2.20862320457835
"Virginia","Chesapeake Police Department ","Actual","Actual",55188337,50973269,42687946,NA,NA,NA,NA,NA,NA,-7.63760647471584,-16.25425083096,NA
"Illinois","Chicago Police Department","Recommended","",1656000251,1778002408,1698590492,1899239226,NA,NA,NA,NA,14.6883416746535,7.36727889541848,-4.46635593082954,11.8126608470383
"Illinois","Chicago Police Department","Adopted ","Adopted",1656002057,1762078349,1698735503,1899239537,11399935000,12606822000,13522021000,18115373000,14.6882353782004,6.40556523173449,-3.59478033629707,11.8031343694122
"California","Chula Vista Police Department ","Adopted","Adopted",56457994,58303672,58282874,51020894,347526000,387281000,403924000,472932000,-9.63034570445418,3.26911721305578,-0.0356718527093799,-12.4598865869243
"California","Chula Vista Police Department ","Actual","Actual",56376351,58784767,NA,NA,NA,NA,NA,NA,NA,4.2720324343092,NA,NA
"Ohio","Cincinnati Police Department","Update","",NA,NA,154220380,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ohio","Cincinnati Police Department","Approved","Adopted",153653450,154133200,154992860,167352540,1098178010,1146597670,1217797230,1211451210,8.91557592751741,0.312228589725776,0.557738371745996,7.97435443155252
"Ohio","Cleveland Police Department","Actual","Actual",206566801,210837151,NA,NA,NA,NA,NA,NA,NA,2.06729734852214,NA,NA
"Ohio","Cleveland Police Department","Budget ","Adopted",207633646,218370376,218203160,223267074,1830570160,1842685701,1789454394,1847792426,7.52933269784224,5.17099718992557,-0.0765744892063565,2.32073357691062
"Colorado","Colorado Springs Police Department ","Budget","Adopted",130833487,140745909,141990216,158751423,610254672,682073090,660035713,775503311,21.3385247463442,7.57636460457559,0.884080403360072,11.8044802467235
"Colorado","Colorado Springs Police Department ","Actual","Actual",135411712,133313450,NA,NA,NA,NA,NA,NA,NA,-1.54954247975242,NA,NA
"Ohio","Columbus Police Department ","Actual ","Actual",346890579,361418946,NA,NA,NA,NA,NA,NA,NA,4.18816995315402,NA,NA
"Ohio","Columbus Police Department ","Proposed","",NA,NA,336846128,NA,1854936071,1957968034,1978776338,1821197116,NA,NA,NA,NA
"Texas","Corpus Cristi Police Department ","Actual","Actual",79620538,79097980,NA,NA,NA,NA,NA,NA,NA,-0.656310561478497,NA,NA
"Texas","Corpus Cristi Police Department ","Adopted","Adopted",77222420,80933540,70996855,73277037,929134949,972978572,954509351,986566695,-5.1091159795303,4.80575459821124,-12.2775860292284,3.21166620690452
"Texas","Dallas Police Department","Adopted","Adopted",487002691,516967195,513535030,565934568,3586199784,3789500063,3854133218,4349067966,16.2076880597771,6.15284156612597,-0.66390382855918,10.2036930177869
"Texas","Dallas Police Department","Forecast","",489021652,501339046,525826617,NA,NA,NA,NA,NA,NA,2.51878295155733,4.88443323841965,NA
"Colorado","Denver Police Department","Appropriated","",268546726,283213400,278172759,NA,NA,NA,NA,NA,NA,5.4614979740993,-1.77980314490769,NA
"Colorado","Denver Police Department","Actual","Actual",268470549,276045129,NA,NA,NA,NA,NA,NA,NA,2.82138209506176,NA,NA
"Colorado","Denver Police Department","Recommended","Adopted",265973413,277936207,274505451,297339019,2.45e+09,2.4e+09,2.1e+09,2.54e+09,11.7927599026599,4.49774053168239,-1.23436814405401,8.31807452887338
"Michigan","Detroit Police Department","Mayor","",NA,331162376,338201201,341995194,NA,NA,NA,NA,NA,NA,2.12549054787552,1.12181535393187
"Michigan","Detroit Police Department","Adopted ","Adopted",321681648,330015742,328711027,341000978,2080965999,2329912629,2186773181,2337901713,6.00572961501366,2.59078938814688,-0.395349322457472,3.73883137178723
"North Carolina","Durham Police Department","Estimated","",65093448,66719900,67015249,NA,NA,NA,NA,NA,NA,2.4986416451622,0.442670027982656,NA
"North Carolina","Durham Police Department","Actual","Actual",64706445,66001211,NA,NA,NA,NA,NA,NA,NA,2.00098460052936,NA,NA
"North Carolina","Durham Police Department","Adopted","Adopted",63883388,65524164,68373249,68902146,557246730,527264943,561337545,584684505,7.85612372343182,2.56839227124272,4.34814399158149,0.773543758319866
"Texas","El Paso Police Department ","Actual","Actual",151271328,158873626,NA,NA,NA,NA,NA,NA,NA,5.02560405895293,NA,NA
"Texas","El Paso Police Department ","Adopted","Adopted",148322299,157607717,165428929,177025187,989381830,1046842912,984674406,1067475828,19.3517011221623,6.26029805538546,4.96245497928252,7.00981265495589
"Illinois","Elgin Police Department","Budgeted","Adopted",45714500,47558740,47975240,50237980,267603400,274378250,266036230,315253850,9.89506611687758,4.03425608942458,0.875759113887374,4.71647458147161
"Illinois","Evanston Police Department","Actual","Actual",52862924,54172134,NA,NA,115175062,109770758,NA,NA,NA,2.47661290926699,NA,NA
"Illinois","Evanston Police Department","Budgeted","Adopted",52635083,56402108,55959657,31001147,319165450,320709230,296146105,360433525,-41.1017419693249,7.1568710169983,-0.784458268829243,-44.6008988225214
"North Carolina","Fayetteville Police Department","Original","",54699697,55561174,56151612,NA,NA,NA,NA,NA,NA,1.57492097259698,1.06268092895229,NA
"North Carolina","Fayetteville Police Department","Recommended","",54699697,55728504,56071254,56504671,NA,NA,NA,NA,3.2997879311836,1.88082760312182,0.615035350670816,0.772975400193475
"North Carolina","Fayetteville Police Department","Actual","Actual",54314419,52035939,NA,NA,NA,NA,NA,NA,NA,-4.19498181504989,NA,NA
"North Carolina","Fayetteville Police Department","Adopted","Adopted",54699697,55561174,56151612,56504671,212246571,229669609,234160261,240304955,3.2997879311836,1.57492097259698,1.06268092895229,0.628760221523115
"Indiana","Fort Wayne Police Department ","Actual","Actual",61246739,61991942,NA,NA,NA,NA,NA,NA,NA,1.21672273849551,NA,NA
"Indiana","Fort Wayne Police Department ","Submitted","Adopted",62657121,64769008,66630076,69449441,218473148,246555705,234317136,246555705,10.8404597779078,3.37054586341431,2.87339278069536,4.23136992969962
"Texas","Fort Worth Police Department ","Final","",259564419,262434881,NA,NA,NA,NA,NA,NA,NA,1.10587653387115,NA,NA
"Texas","Fort Worth Police Department ","Adopted","Adopted",253937854,267159840,272987345,282524533,1946933602,2082057531,2278488454,2075421024,11.2573523599203,5.20678023844369,2.1812803151851,3.4936374065252
"California","Fremont Police Department ","Adopted","Adopted",85735129,93307865,96543502,101913557,329501000,382796000,339022000,364108000,18.870243957993,8.83271080165984,3.4677001772573,5.56231635351284
"California","Fremont Police Department ","Actual","Actual",82063070,89761799,NA,NA,NA,NA,NA,NA,NA,9.38147817282488,NA,NA
"California","Fresno Police Department","Adopted ","Adopted",180875300,201764000,210274600,207022900,1120127300,1189054400,1362571900,1448903600,14.4561474120568,11.5486746946653,4.2180963898416,-1.54640646088496
"California","Fresno Police Department","Amended","",184285900,202961300,211491400,NA,NA,NA,NA,NA,NA,10.1339277720108,4.20282093187223,NA
"California","Fresno Police Department","Actual ","Actual",178522300,190198600,NA,NA,NA,NA,NA,NA,NA,6.54052742990652,NA,NA
"Texas","Frisco Police Department ","Actual ","Actual",41860745,42256989,NA,NA,NA,NA,NA,NA,NA,0.946576559972834,NA,NA
"Texas","Frisco Police Department ","Adopted ","Adopted",43943517,46571949,46456300,51310506,507780651,604414003,586026158,745820053,16.7646777111627,5.98138742513486,-0.248323298644856,10.4489724752079
"Texas","Garland Police Department ","Approved","Adopted",55582642,57800124,60555352,62318563,736110070,767655708,773790830,816786875,12.1187492310999,3.98952248437561,4.76682022343066,2.91173437485757
